13,Peppermint Candy,박하사탕,Peppermint Candy,,,1999,7.7,,"The tragic story of a man's life is told in reverse, revealing the events that shaped his descent into despair and ultimate demise.",,129,thumb.jpg,fanart.jpg,R,Drama,South Korea,1999-09-11,Seoul Film,Lee Chang-dong,Lee Chang-dong,trailer.mp4,Sol Kyung-gu,Kim Yong-ho,1,actor1.jpg,Moon So-ri,Yoon Sun-im,2,actor2.jpg,,,3,actor3.jpg,tt0247613,13,H.264,2.35,1920,1080,7740,aac,Korean,2,English,2024-08-26
1,Saving Private Ryan,Saving Private Ryan,Saving Private Ryan,,,1998,8.6,,"During the invasion of Normandy in World War II, a group of U.S. soldiers embark on a dangerous mission to retrieve a paratrooper whose brothers have been killed in action.",The mission is a man.,169,thumb.jpg,fanart.jpg,R,War,USA,1998-07-24,DreamWorks SKG,Robert Rodat,Steven Spielberg,trailer.mp4,Tom Hanks,Captain Miller,1,thumb1.jpg,Matt Damon,Private Ryan,2,thumb2.jpg,Tom Sizemore,Sergeant Horvath,3,thumb3.jpg,tt0120815,857,H.264,2.35,1920,1080,10140,aac,English,6,English,2024-08-26
2,Rushmore,Rushmore,Rushmore,,,1998,7.7,,A precocious teenager at an elite prep school forms an unlikely friendship with a middle-aged industrialist while vying for the affections of a beautiful teacher.,Love. Expulsion. Revolution.,93,thumb.jpg,fanart.jpg,R,Comedy,USA,1998-09-17,Touchstone Pictures,Wes Anderson,Wes Anderson,trailer.mp4,Jason Schwartzman,Max Fischer,1,thumb1.jpg,Bill Murray,Herman Blume,2,thumb2.jpg,Olivia Williams,Miss Cross,3,thumb3.jpg,tt0128445,553,H.264,1.85,1920,1080,5580,aac,English,6,English,2024-08-26
3,The Thin Red Line,The Thin Red Line,The Thin Red Line,,,1998,7.6,,"The story of a group of men, an Army Rifle company called C-for-Charlie, as they go through the major battles of Guadalcanal during World War II.",Every man fights his own war.,170,thumb.jpg,fanart.jpg,R,War,USA,1998-12-25,20th Century Fox,Terrence Malick,Terrence Malick,trailer.mp4,Jim Caviezel,Private Witt,1,thumb1.jpg,Sean Penn,First Sgt. Welsh,2,thumb2.jpg,Nick Nolte,Lieutenant Colonel Tall,3,thumb3.jpg,tt0120863,874,H.264,2.35,1920,1080,10200,aac,English,6,English,2024-08-26
4,Ringu,リング,Ringu,,,1998,7.2,,"A journalist investigates a cursed videotape that is said to kill the viewer seven days after watching it, uncovering a terrifying mystery that has claimed many lives.","One curse, one cure, one week to find it.",96,thumb.jpg,fanart.jpg,R,Horror,Japan,1998-01-31,Toho Company,Hiroshi Takahashi,Hideo Nakata,trailer.mp4,Nanako Matsushima,Reiko Asakawa,1,thumb1.jpg,Hiroyuki Sanada,Ryuji Takayama,2,thumb2.jpg,Rikiya Otaka,Yoichi Asakawa,3,thumb3.jpg,tt0178868,131,H.264,1.85,1920,1080,5760,aac,Japanese,2,English,2024-08-26
5,La Vita è Bella,La Vita è Bella,La Vita è Bella,,,1998,8.6,,A Jewish Italian bookshop owner uses humor and imagination to shield his son from the horrors of internment in a Nazi concentration camp.,"An unforgettable fable that proves love, family and imagination conquer all.",116,thumb.jpg,fanart.jpg,PG-13,Drama,Italy,1998-12-20,Miramax,Roberto Benigni,Roberto Benigni,trailer.mp4,Roberto Benigni,Guido,1,thumb1.jpg,Nicoletta Braschi,Dora,2,thumb2.jpg,Giorgio Cantarini,Giosué,3,thumb3.jpg,tt0118799,637,H.264,1.85,1920,1080,6960,aac,Italian,2,English,2024-08-26
6,A Simple Plan,A Simple Plan,A Simple Plan,,,1998,7.5,,"Two brothers and a friend find a crashed plane containing millions of dollars, leading them down a dark path of greed, suspicion, and murder.",Money changes everything.,121,thumb.jpg,fanart.jpg,R,Thriller,USA,1998-12-11,Paramount Pictures,Scott B. Smith,Sam Raimi,trailer.mp4,Bill Paxton,Hank,1,thumb1.jpg,Billy Bob Thornton,Jacob,2,thumb2.jpg,Bridget Fonda,Sarah,3,thumb3.jpg,tt0120324,933,H.264,2.35,1920,1080,7260,aac,English,6,English,2024-08-26
7,The Truman Show,The Truman Show,The Truman Show,,,1998,8.1,,"An insurance salesman discovers his entire life is actually a reality TV show, leading him to question everything he knows and seeks the truth.","On the air, unaware.",103,thumb.jpg,fanart.jpg,PG,Drama,USA,1998-06-05,Paramount Pictures,Andrew Niccol,Peter Weir,trailer.mp4,Jim Carrey,Truman Burbank,1,thumb1.jpg,Laura Linney,Meryl Burbank,2,thumb2.jpg,Noah Emmerich,Marlon,3,thumb3.jpg,tt0120382,371,H.264,1.85,1920,1080,6180,aac,English,6,English,2024-08-26
8,The Big Lebowski,The Big Lebowski,The Big Lebowski,,,1998,8.1,,"The Dude, an L.A. slacker, is mistaken for a millionaire with the same name, leading to a series of bizarre encounters in this cult classic comedy.",The Dude abides.,117,thumb.jpg,fanart.jpg,R,Comedy,USA,1998-03-06,PolyGram Filmed Entertainment,Coen Brothers,Joel Coen,trailer.mp4,Jeff Bridges,The Dude,1,thumb1.jpg,John Goodman,Walter Sobchak,2,thumb2.jpg,Julianne Moore,Maude Lebowski,3,thumb3.jpg,tt0118715,968,H.264,1.85,1920,1080,7020,aac,English,6,English,2024-08-26
9,Run Lola Run,Lola Rennt,Run Lola Run,,,1998,7.7,,"A woman races against the clock to find 100,000 Deutschmarks in 20 minutes to save her boyfriend's life in this fast-paced German thriller.",Every second of every day you're faced with a decision that can change your life.,81,thumb.jpg,fanart.jpg,R,Thriller,Germany,1998-08-20,Sony Pictures Classics,Tom Tykwer,Tom Tykwer,trailer.mp4,Franka Potente,Lola,1,thumb1.jpg,Moritz Bleibtreu,Manni,2,thumb2.jpg,Herbert Knaup,Vater,3,thumb3.jpg,tt0130827,964,H.264,1.85,1920,1080,4860,aac,German,2,English,2024-08-26
10,Dark City,Dark City,Dark City,,,1998,7.6,,A man wakes up in a strange city with no memory and must unravel the mystery of his identity while evading sinister forces in a dystopian world.,They built the city to see what makes us tick.,100,thumb.jpg,fanart.jpg,R,Sci-Fi,USA,1998-02-27,New Line Cinema,David S. Goyer,Alex Proyas,trailer.mp4,Rufus Sewell,John Murdoch,1,thumb1.jpg,Kiefer Sutherland,Dr. Schreber,2,thumb2.jpg,Jennifer Connelly,Emma Murdoch,3,thumb3.jpg,tt0118929,1220,H.264,2.35,1920,1080,6000,aac,English,6,English,2024-08-26
11,Perfect Blue,パーフェクトブルー,Perfect Blue,,,1998,8,,A retired pop singer turned actress finds her life spiraling out of control when she becomes the target of a stalker and a series of murders.,The color of illusion is Perfect Blue.,81,thumb.jpg,fanart.jpg,R,Thriller,Japan,1998-08-05,Madhouse,Sadayuki Murai,Satoshi Kon,trailer.mp4,Junko Iwao,Mima Kirigoe,1,thumb1.jpg,Rica Matsumoto,Rumi,2,thumb2.jpg,Shinpachi Tsuji,Tadokoro,3,thumb3.jpg,tt0156887,331,H.264,1.85,1920,1080,4860,aac,Japanese,2,English,2024-08-26
12,Fear and Loathing in Las Vegas,Fear and Loathing in Las Vegas,Fear and Loathing in Las Vegas,,,1998,7.6,,An oddball journalist and his psychopathic lawyer travel to Las Vegas for a series of psychedelic escapades fueled by a cocktail of drugs.,A savage journey to the heart of the American dream.,118,thumb.jpg,fanart.jpg,R,Comedy,USA,1998-05-22,Universal Pictures,Terry Gilliam,Terry Gilliam,trailer.mp4,Johnny Depp,Raoul Duke,1,thumb1.jpg,Benicio del Toro,Dr. Gonzo,2,thumb2.jpg,Tobey Maguire,Hitchhiker,3,thumb3.jpg,tt0120669,1877,H.264,2.35,1920,1080,7080,aac,English,6,English,2024-08-26
13,Happiness,Happiness,Happiness,,,1998,7.8,,The lives of three sisters and their extended family are explored in this darkly comedic examination of dysfunctional relationships and hidden desires.,Finding happiness is a bitch.,139,thumb.jpg,fanart.jpg,R,Comedy,USA,1998-10-16,Good Machine,Todd Solondz,Todd Solondz,trailer.mp4,Jane Adams,Joy,1,thumb1.jpg,Philip Seymour Hoffman,Allen,2,thumb2.jpg,Jon Lovitz,Andy,3,thumb3.jpg,tt0147612,930,H.264,2.35,1920,1080,8340,aac,English,6,English,2024-08-26
14,The Celebration,Festen,The Celebration,,,1998,8.1,,A family reunion turns dark as buried secrets and accusations surface during the patriarch's 60th birthday celebration.,Every family has a secret.,105,thumb.jpg,fanart.jpg,R,Drama,Denmark,1998-05-20,Nimbus Film,Thomas Vinterberg,Thomas Vinterberg,trailer.mp4,Ulrich Thomsen,Christian,1,thumb1.jpg,Henning Moritzen,Helge,2,thumb2.jpg,Thomas Bo Larsen,Michael,3,thumb3.jpg,tt0154420,248,H.264,1.85,1920,1080,6300,aac,Danish,2,English,2024-08-26
15,Central Station,Central do Brasil,Central Station,,,1998,8,,An embittered former schoolteacher befriends a young boy and helps him search for his father in the rural northeast of Brazil.,He was looking for the father he never knew. She was looking for a second chance.,113,thumb.jpg,fanart.jpg,R,Drama,Brazil,1998-11-20,Sony Pictures Classics,Marcos Bernstein,Walter Salles,trailer.mp4,Fernanda Montenegro,Dora,1,thumb1.jpg,Vinícius de Oliveira,Josué,2,thumb2.jpg,Marília Pêra,Irene,3,thumb3.jpg,tt0140888,47,H.264,1.85,1920,1080,6780,aac,Portuguese,2,English,2024-08-26
16,Pi,Pi,Pi,,,1998,7.4,,"A brilliant mathematician becomes obsessed with finding patterns in the numbers around him, leading to paranoia and madness in this psychological thriller.","There will be no order, only chaos.",84,thumb.jpg,fanart.jpg,R,Thriller,USA,1998-07-10,Artisan Entertainment,Darren Aronofsky,Darren Aronofsky,trailer.mp4,Sean Gullette,Max Cohen,1,thumb1.jpg,Mark Margolis,Sol Robeson,2,thumb2.jpg,Ben Shenkman,Lenny Meyer,3,thumb3.jpg,tt0138704,1040,H.264,1.85,1920,1080,5040,aac,English,6,English,2024-08-26
17,Mulan,花木蘭,Mulan,,,1998,7.6,,A young Chinese maiden disguises herself as a man to take her father's place in the army and defend her country in this animated Disney classic.,The flower that blooms in adversity is the most rare and beautiful of all.,88,thumb.jpg,fanart.jpg,G,Animation,USA,1998-06-19,Walt Disney Pictures,Rita Hsiao,Tony Bancroft; Barry Cook,trailer.mp4,Ming-Na Wen,Mulan (voice),1,thumb1.jpg,Eddie Murphy,Mushu (voice),2,thumb2.jpg,BD Wong,Shang (voice),3,thumb3.jpg,tt0120762,609,H.264,1.85,1920,1080,5280,aac,English,6,English,2024-08-26
18,"Lock, Stock and Two Smoking Barrels","Lock, Stock and Two Smoking Barrels","Lock, Stock and Two Smoking Barrels",,,1998,8.2,,"A group of friends find themselves in deep trouble after a high-stakes card game goes wrong, leading to a series of escalating and comedic misadventures.",A Disgrace to Criminals Everywhere.,107,thumb.jpg,fanart.jpg,R,Comedy,UK,1998-08-28,Summit Entertainment,Guy Ritchie,Guy Ritchie,trailer.mp4,Jason Flemyng,Tom,1,thumb1.jpg,Dexter Fletcher,Soap,2,thumb2.jpg,Nick Moran,Eddy,3,thumb3.jpg,tt0120735,1000,H.264,1.85,1920,1080,6420,aac,English,6,English,2024-08-26
19,Ring 2,リング2,Ring 2,,,1998,5.9,,"After the events of the first film, a series of unexplained deaths lead a journalist to investigate the origins of the cursed videotape and the vengeful spirit behind it.",Fear never dies.,95,thumb.jpg,fanart.jpg,R,Horror,Japan,1998-11-19,Toho Company,Hiroshi Takahashi,Hideo Nakata,trailer.mp4,Miki Nakatani,Mai Takano,1,thumb1.jpg,Kyôko Fukada,Kanae Sawaguchi,2,thumb2.jpg,Hitomi Satô,Masami Kurahashi,3,thumb3.jpg,tt0220068,377,H.264,1.85,1920,1080,5700,aac,Japanese,2,English,2024-08-26
20,Life Is Beautiful,La Vita è Bella,Life Is Beautiful,,,1998,8.6,,"“A gentle Jewish-Italian father tries to shield his son from the horrors of a Nazi concentration camp by using humor and imagination in this heartwarming, tragic comedy.","An unforgettable fable that proves love, family, and imagination conquer all.",116,thumb.jpg,fanart.jpg,PG-13,Drama,Italy,1998-12-20,Miramax,Roberto Benigni,Roberto Benigni,trailer.mp4,Roberto Benigni,Guido,1,thumb1.jpg,Nicoletta Braschi,Dora,2,thumb2.jpg,Giorgio Cantarini,Giosué,3,thumb3.jpg,tt0118799,637,H.264,1.85,1920,1080,6960,aac,Italian,2,English,2024-08-26
21,City of Glass,玻璃之城,City of Glass,,,1998,7,,"A love story spanning decades, 'City of Glass' tells the tale of a couple whose love is rekindled after they reconnect at the university where they met.",A love that transcends time.,110,thumb.jpg,fanart.jpg,R,Drama,Hong Kong,1998-10-24,Golden Harvest,Alex Law,Mabel Cheung,trailer.mp4,Leon Lai,Raphael,1,thumb1.jpg,Shu Qi,Vivian,2,thumb2.jpg,Nicola Cheung,Rosa,3,thumb3.jpg,tt0211633,947,H.264,1.85,1920,1080,6600,aac,Cantonese,2,English,2024-08-26
22,Tempting Heart,心動,Tempting Heart,,,1998,7.6,,"A touching romantic drama that follows a woman who looks back on her life and her first love, revisiting the memories that shaped her future.",Memories never fade.,115,thumb.jpg,fanart.jpg,R,Romance,Hong Kong,1998-11-26,United Filmmakers Organization,Ivy Ho,Sylvia Chang,trailer.mp4,Takeshi Kaneshiro,Ho-jun,1,thumb1.jpg,Gigi Leung,Cheung Yiu-ming,2,thumb2.jpg,Karen Mok,Chu Suet-chi,3,thumb3.jpg,tt0206634,1754,H.264,1.85,1920,1080,6900,aac,Cantonese,2,English,2024-08-26
23,The Longest Summer,去年煙花特別多,The Longest Summer,,,1998,7.3,,"Amid the political uncertainty of Hong Kong's handover to China, a group of disillusioned former soldiers plan a bank heist that will change their lives forever.","The end of an era, the start of something new.",128,thumb.jpg,fanart.jpg,R,Crime,Hong Kong,1998-09-03,Pang Ho-cheung Film Production,Fruit Chan,Fruit Chan,trailer.mp4,Tony Ho,Ga Yin,1,thumb1.jpg,Sam Lee,Kwan,2,thumb2.jpg,Jo Kuk,Ling,3,thumb3.jpg,tt0168030,1283,H.264,1.85,1920,1080,7680,aac,Cantonese,2,English,2024-08-26
24,The Hole,洞,The Hole,,,1998,7.4,,"As a strange epidemic sweeps through Taipei, a lonely man and his downstairs neighbor begin an unusual relationship during a constant downpour.",Love finds a way in the most unexpected places.,95,thumb.jpg,fanart.jpg,R,Drama,Taiwan,1998-09-17,Central Motion Picture Corporation,Tsai Ming-liang,Tsai Ming-liang,trailer.mp4,Lee Kang-sheng,The Man Upstairs,1,thumb1.jpg,Yang Kuei-Mei,The Woman Downstairs,2,thumb2.jpg,Miao Tien,Father,3,thumb3.jpg,tt0156610,111,H.264,1.85,1920,1080,5700,aac,Mandarin,2,English,2024-08-26
25,Your Place or Mine!,不見不散,Your Place or Mine!,,,1998,6.7,,A romantic comedy that explores the complexities of relationships as a Chinese man and a Chinese-American woman navigate love and cultural differences in New York City.,Love knows no boundaries.,110,thumb.jpg,fanart.jpg,R,Romance,Hong Kong,1998-12-10,Edko Films,Chen Kaige,Peter Chan,trailer.mp4,Tony Leung Chiu-wai,Li Zi-jun,1,thumb1.jpg,Vivian Hsu,Huang Zhen,2,thumb2.jpg,Gordon Chan,Himself,3,thumb3.jpg,tt0187504,294,H.264,1.85,1920,1080,6600,aac,Cantonese,2,English,2024-08-26
26,Beast Cops,野獸刑警,Beast Cops,,,1998,7,,"A gritty crime drama that follows a seasoned cop and his rookie partner as they delve into the underworld of Hong Kong, blurring the lines between law and crime.","In the line of fire, there are no rules.",110,thumb.jpg,fanart.jpg,R,Crime,Hong Kong,1998-05-30,Media Asia Group,Gordon Chan,Gordon Chan; Dante Lam,trailer.mp4,Anthony Wong,Mike,1,thumb1.jpg,Michael Wong,Cheung,2,thumb2.jpg,Sam Lee,Pushy,3,thumb3.jpg,tt0156716,785,H.264,1.85,1920,1080,6600,aac,Cantonese,2,English,2024-08-26
27,Hold You Tight,愈快樂愈墮落,Hold You Tight,,,1998,6.9,,A complex love story unfolds as two men and a woman find their lives intertwined in unexpected ways in this experimental Hong Kong drama.,Where does love begin?,98,thumb.jpg,fanart.jpg,R,Drama,Hong Kong,1998-03-19,Jet Tone Productions,Stanley Kwan,Stanley Kwan,trailer.mp4,Sunny Chan,Ah Hong,1,thumb1.jpg,Eric Tsang,Cheng Chai,2,thumb2.jpg,Chingmy Yau,Ah Mei,3,thumb3.jpg,tt0140880,150,H.264,1.85,1920,1080,5880,aac,Cantonese,2,English,2024-08-26
28,Dr. Wai in 'The Scripture with No Words',冒險王,Dr. Wai in 'The Scripture with No Words',,,1998,5.8,,A fictional pulp adventure story set in the 1930s where a writer imagines himself as a dashing hero on a quest for a mystical scripture with no words.,The adventure of a lifetime.,86,thumb.jpg,fanart.jpg,R,Action,Hong Kong,1998-03-19,Golden Harvest,Wong Jing,Teddy Chan,trailer.mp4,Jet Li,Dr. Wai,1,thumb1.jpg,Rosamund Kwan,Monica,2,thumb2.jpg,Takeshi Kaneshiro,Simon,3,thumb3.jpg,tt0117303,482,H.264,1.85,1920,1080,5160,aac,Cantonese,2,English,2024-08-26
29,Anna Magdalena,安娜瑪德蓮娜,Anna Magdalena,,,1998,7,,"A quirky romantic comedy about two roommates who fall in love with the same woman, exploring the ups and downs of their relationships through the lens of music and fantasy.","Love, music, and everything in between.",98,thumb.jpg,fanart.jpg,R,Romance,Hong Kong,1998-03-28,United Filmmakers Organization,Gordon Chan,Yee Chung-man,trailer.mp4,Takeshi Kaneshiro,Yau Muk-yan,1,thumb1.jpg,Aaron Kwok,Chan Kar-fu,2,thumb2.jpg,Kelly Chen,Anna,3,thumb3.jpg,tt0167203,342,H.264,1.85,1920,1080,5880,aac,Cantonese,2,English,2024-08-26
